,Astro,Endo,L5-1,Lhx6,NPY,Oligo,Reln,SST,Smc,VIP,eL2/3,eL5-2,eL5-3,eL6-1,eL6-2
69x4486,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93x1063,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143x3445,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88x4092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120x4293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104x2648,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105x2425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
146x5387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107x3104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127x3822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259x4507,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210x2935,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
241x3271,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
239x2631,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
281x3080,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
224x3566,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
221x4872,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290x5270,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
276x5435,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
321x3949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
339x2790,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
317x5119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
342x5600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
352x2563,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
372x1693,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
311x2357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
385x5503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
396x4972,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
388x5349,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
402x1331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
409x4543,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
413x5757,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393x4808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446x5944,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
462x5091,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
482x5413,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
482x5581,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
461x3050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471x5246,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
526x5768,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
555x1786,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
563x5971,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
526x6243,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
548x6495,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
554x6386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
558x5137,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
561x6118,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
581x4471,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
599x5622,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
604x5412,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
598x6567,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
578x286,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
616x5239,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652x6228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
705x1715,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
732x5330,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
835x5264,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
871x1075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
847x241,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887x5359,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
949x787,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
906x2244,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
898x92,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1023x284,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1022x5565,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1107x4892,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1155x352,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1219x6017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1225x5122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1249x136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251x4565,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1338x2782,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1373x6021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1382x2384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1474x1644,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1500x293,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1580x763,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1588x535,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1627x5761,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1707x565,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1677x5560,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1779x5697,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1773x4571,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1790x4707,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1830x5552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1794x5436,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1911x4654,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1932x5445,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1978x5613,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1980x6074,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2003x3832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2040x5814,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2050x4659,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2066x2105,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2085x390,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2097x4378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2152x5956,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2160x4870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2221x5691,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2217x6516,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2248x5871,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2239x1154,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2297x3080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2302x3966,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2343x1019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2374x198,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2362x3504,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2390x3361,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2433x2760,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2393x1440,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2458x2908,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2438x4101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2474x3930,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2469x1334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2497x4564,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2536x3651,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2465x4370,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2523x1100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2552x6051,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2566x445,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2558x2591,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2607x167,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2602x2274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2625x6297,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2661x4921,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2671x2028,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2647x5842,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2698x4476,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2725x1229,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2729x2571,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2717x5480,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2739x2192,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2724x5212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2771x925,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2779x3387,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2794x549,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2825x158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2818x3935,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2825x353,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2835x4736,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2852x5446,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2877x61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2863x4900,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2862x3238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2867x6410,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2912x2915,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2863x6239,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2882x1230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2854x6016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2892x3781,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2900x4518,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2944x3399,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2908x1593,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2933x2191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3023x6550,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2927x3132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2971x1902,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2957x960,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2975x4177,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2997x392,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2984x795,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3005x607,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3008x6107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3015x2375,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3035x4607,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3010x5742,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3051x5364,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3088x4056,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3088x5969,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3098x269,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3085x1874,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3073x2687,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3074x3903,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3112x704,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3112x1238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3100x1519,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3096x4775,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3113x5229,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3130x3026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3143x1724,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3143x4443,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3176x1111,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3167x4598,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3194x6122,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3192x1436,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3202x973,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3179x2424,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3203x3174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3190x4995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3234x4222,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3259x2762,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3263x3474,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3262x3332,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3277x2545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3268x5634,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3294x327,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3274x5349,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3308x5144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3320x3713,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3336x3835,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3341x655,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3380x2391,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3362x4758,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3383x1553,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3373x6292,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
